"rotationAngles","rotationAnglesMag"
4.24536042174879,2.9417351573285
4.68453517644514,2.36342025140049
5.18123417266354,1.98856920377515
5.64790000331961,2.06345194240147
6.05716820779562,2.62049543171688
6.37530715030336,3.51193745911952
6.66103347991946,4.51233972322113
6.92255579003907,5.55162754639085
7.15874901258471,6.59218305969708
7.33409844561045,7.52852999917387
7.42959841172629,8.2989379589537
7.43682369655562,8.86871684349156
7.39859834454397,9.27823006143609
7.32258568970777,9.53878065400055
7.17073947017742,9.57353408148207
6.92253970529118,9.37316174048032
6.59489142098801,8.948896576166
6.22778788259008,8.40636970917864
5.8447552978359,7.79344825245107
5.51494780847248,7.15121952948714
5.36988276082566,6.58464459824963
5.49653958314853,6.2126166144111
5.69064649634352,5.97709977737186
5.72905084256287,5.73445225853759
5.41655439949039,5.30084286893619
4.96328644069059,4.80209637527533
4.76484573565477,4.494074139115
5.24845715572549,4.6693069152586
6.34918163383945,5.28356792270997
7.68631872333053,6.0823421416407
8.89656616098643,6.79904220920993
9.78319728750695,7.31155130194703
10.3110787882901,7.64594886073513
10.5046070632276,7.84238183720124
10.3762273731959,7.85343866188008
10.0235676149125,7.71206416222324
9.51878426727116,7.43056615878188
9.00667641718353,7.12902429625191
8.55616122903839,6.8641191777125
8.22080264659979,6.67465188975647
8.02455226160196,6.56703482248236
7.97938815334723,6.53598579484415
8.05793022504,6.56992727481635
8.19745324240001,6.63095121365498
8.35677970547796,6.71351252280086
8.54810206732403,6.87951852311986
8.82347010641763,7.22445273822977
9.10844083309483,7.70745070768014
9.1973776128917,8.11565345266103
8.86862033140649,8.19814922674061
8.00233555973441,7.75831947667817
6.81664484779922,6.92963194741501
5.59793299582599,5.89300648978454
4.73943906769988,4.88413399034311
4.42678274126968,3.94151102176292
4.67088141848732,3.12259722147037
5.26152781476373,2.53582902162118
5.97508670472856,2.46524496759247
6.66353646188017,3.08475343413941
7.26972155043624,4.17983373110893
7.74923560399057,5.48845994425931
8.04667997877241,6.83376646813376
8.16536046611788,8.1170009811589
8.15495657345641,9.26499283193543
8.09283504050608,10.2473395326783
7.9736866294799,11.0316238014771
7.79456228674091,11.5964425291072
7.5754195796572,11.9549053475773
7.33347968280055,12.0782322450747
7.04144816464265,11.8716169361457
6.66043072282295,11.348342004079
6.17650325960145,10.5905441459937
5.7141632049672,9.74189239722592
5.46714129290412,8.84147921874741
5.52883362172727,7.9610628965955
5.79109490306213,7.19118259725206
5.97901232866629,6.54473629463336
6.00374674671565,6.00641682352186
5.82462968055862,5.53452148249008
5.70176635775182,5.30514470022875
5.85368680386794,5.44669265024916
6.38279577495757,5.92198318834562
7.10614435178825,6.48237962523863
7.73575175686326,6.84861656093319
8.0903744173755,6.91874268298254
8.12531476276478,6.73965587521421
7.88490042385824,6.3973798953819
7.48589962581506,5.98591481247087
7.10937426065166,5.63408610088225
6.8837311220657,5.43426494732188
6.8236781258903,5.39486538137964
6.85839627693059,5.45216199486085
6.91669635822522,5.57988115526119
6.94654304119843,5.73016681672927
6.94935111441392,5.8987144176669
6.94184201254902,6.06078766464493
6.90516970381942,6.1854165740657
6.81660789876375,6.22302819667447
6.68828795957343,6.17166298376514
6.61107560752559,6.15754840520109
6.54057255221334,6.2124832971766
