Acc0,Acc1,Acc2,Gyr0,Gyr1,Gyr2,Mag0,Mag1,Mag2,Timestamp,dt
-0.03125,0.796875,-0.078125,-8.70513916015625,16.9830322265625,1.2359619140625,12.176513671875,-2.838134765625,-11.566162109375,141515390668722,0.102482135
-0.03125,0.796875,-0.078125,-6.96563720703125,7.04193115234375,8.9111328125,12.176513671875,-2.838134765625,-11.566162109375,141515491901118,0.101232396
-0.140625,1.171875,0.03125,-6.96563720703125,7.04193115234375,8.9111328125,12.359619140625,-3.021240234375,-12.237548828125,141515592756118,0.100855
-0.234375,1.1875,0.078125,26.26800537109375,-39.4287109375,0.3204345703125,12.5732421875,-3.173828125,-11.962890625,141515693390806,0.100634688
-0.140625,0.765625,0.046875,33.69140625,-33.599853515625,8.73565673828125,12.39013671875,-3.11279296875,-12.237548828125,141515794216430,0.100825624
-0.09375,0.734375,0.015625,25.29144287109375,-65.49072265625,6.744384765625,12.481689453125,-2.838134765625,-12.14599609375,141515894781118,0.100564688
-0.109375,0.9375,-0.125,4.66156005859375,-87.554931640625,6.62994384765625,12.420654296875,-2.532958984375,-13.336181640625,141515995194712,0.100413594
-0.171875,1.1875,-0.265625,17.2882080078125,-59.16595458984375,-3.753662109375,12.3291015625,-2.25830078125,-13.85498046875,141516095961378,0.100766666
-0.375,1.28125,-0.0625,-2.22015380859375,-57.51800537109375,0.08392333984375,12.542724609375,-2.105712890625,-14.7705078125,141516196355649,0.100394271
-0.203125,0.796875,0.03125,-7.659912109375,-59.16595458984375,7.049560546875,12.542724609375,-2.166748046875,-17.88330078125,141516296988045,0.100632396
-0.109375,0.703125,0.0,1.9378662109375,-56.854248046875,8.35418701171875,12.63427734375,-2.166748046875,-19.10400390625,141516397526847,0.100538802
-0.140625,0.796875,0.015625,17.26531982421875,-73.52447509765625,4.1351318359375,12.847900390625,-2.532958984375,-20.08056640625,141516498141795,0.100614948
-0.078125,1.265625,0.203125,23.62060546875,-107.818603515625,13.5498046875,13.458251953125,-3.448486328125,-21.91162109375,141516598888045,0.10074625
-0.09375,0.765625,0.125,23.590087890625,-102.25677490234375,5.401611328125,13.85498046875,-4.39453125,-23.590087890625,141516699583878,0.100695833
-0.15625,0.9375,0.046875,13.98468017578125,-74.15008544921875,-17.90618896484375,14.46533203125,-5.279541015625,-25.45166015625,141516801059815,0.101475937
-0.15625,0.765625,0.015625,23.18572998046875,-38.45977783203125,0.06866455078125,14.46533203125,-5.889892578125,-26.947021484375,141516902027888,0.100968073
-0.125,0.765625,-0.09375,19.96612548828125,-15.20538330078125,3.37982177734375,14.984130859375,-6.317138671875,-27.099609375,141517002956065,0.100928177
-0.1875,1.125,-0.046875,4.1961669921875,16.7083740234375,11.49749755859375,15.07568359375,-6.591796875,-27.313232421875,141517103458149,0.100502084
-0.21875,0.921875,-0.15625,3.6163330078125,49.8046875,6.23321533203125,15.106201171875,-6.683349609375,-27.099609375,141517203893826,0.100435677
-0.21875,0.921875,-0.046875,-38.7420654296875,62.3016357421875,-21.41571044921875,14.862060546875,-6.011962890625,-25.787353515625,141517304699242,0.100805416
-0.21875,0.625,-0.03125,-21.97265625,79.498291015625,-15.594482421875,14.068603515625,-5.126953125,-25.45166015625,141517405359503,0.100660261
-0.1875,0.75,-0.09375,-12.4969482421875,68.0999755859375,-11.810302734375,13.3056640625,-4.21142578125,-23.5595703125,141517508553305,0.103193802
-0.234375,1.171875,-0.0625,2.0294189453125,45.70770263671875,2.86865234375,12.87841796875,-3.204345703125,-23.3154296875,141517609094086,0.100540781
-0.21875,1.546875,0.046875,6.66046142578125,19.5465087890625,2.899169921875,12.664794921875,-2.86865234375,-21.697998046875,141517709633409,0.100539323
-0.140625,1.0625,0.03125,12.0697021484375,4.5166015625,-1.8157958984375,12.75634765625,-2.86865234375,-20.538330078125,141517810475128,0.100841719
-0.171875,0.84375,-0.03125,12.4664306640625,-2.61688232421875,-11.0626220703125,12.6953125,-2.777099609375,-20.5078125,141517910920648,0.10044552
-0.140625,0.6875,-0.03125,6.53076171875,1.03759765625,0.3814697265625,12.542724609375,-2.62451171875,-20.294189453125,141518012066325,0.101145677
-0.171875,0.765625,-0.09375,7.77435302734375,10.52093505859375,16.754150390625,12.3291015625,-2.349853515625,-20.6298828125,141518116984034,0.104917709
-0.234375,1.203125,-0.0625,-2.349853515625,22.9644775390625,13.14544677734375,12.51220703125,-2.74658203125,-20.08056640625,141518217630127,0.100646093
-0.125,0.75,-0.1875,-2.4871826171875,19.1192626953125,-8.4228515625,12.75634765625,-2.685546875,-19.805908203125,141518318482627,0.1008525
-0.296875,0.96875,-0.046875,-18.035888671875,11.55853271484375,-11.9476318359375,12.725830078125,-2.8076171875,-19.866943359375,141518419257836,0.100775209
-0.1875,0.640625,-0.015625,-11.36016845703125,6.2408447265625,18.02825927734375,12.359619140625,-2.227783203125,-19.989013671875,141518519978721,0.100720885
-0.09375,0.765625,-0.09375,-2.716064453125,-5.584716796875,7.24029541015625,12.5732421875,-2.227783203125,-19.561767578125,141518620690648,0.100711927
