Acc0,Acc1,Acc2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
-0.265625,1.15625,-0.03125,15.8157348633,-20.866394043,0.1678466797,2.7160644531,14.4958496094,-9.8571777344,141107821367628,0.101730313
-0.40625,1.078125,0.046875,4.3640136719,-8.4381103516,-6.2942504883,2.7160644531,14.4958496094,-9.8571777344,141107922040544,0.100672916
-0.265625,0.9375,0.015625,13.2064819336,11.344909668,-12.4893188477,2.9602050781,14.5568847656,-10.3149414063,141108022956690,0.100916146
-0.21875,0.75,-0.015625,15.3198242188,4.7378540039,-6.0577392578,2.7465820313,14.5874023438,-10.5895996094,141108124227523,0.101270833
-0.234375,0.78125,-0.0625,2.8915405273,-1.4801025391,4.7988891602,2.6550292969,14.892578125,-9.8571777344,141108224918148,0.100690625
-0.3125,1.078125,-0.109375,-2.4642944336,2.8381347656,4.8370361328,2.44140625,14.6484375,-10.2233886719,141108325499971,0.100581823
-0.359375,1.046875,-0.203125,3.7002563477,13.18359375,-2.1438598633,2.5329589844,14.5568847656,-9.3078613281,141108426174503,0.100674532
-0.390625,0.84375,-0.09375,-13.5269165039,11.4135742188,-9.8037719727,2.4719238281,14.6789550781,-9.5825195313,141108526846898,0.100672395
-0.25,0.734375,-0.046875,-12.7105712891,4.6081542969,6.7138671875,2.3193359375,14.5874023438,-9.6130371094,141108627512002,0.100665104
-0.25,0.78125,-0.09375,-11.0778808594,18.4326171875,5.9204101563,2.44140625,14.6789550781,-9.2163085938,141108727918982,0.10040698
-0.296875,0.96875,-0.0625,-17.1203613281,42.5796508789,16.9525146484,2.7160644531,14.6789550781,-9.6740722656,141108828413669,0.100494687
-0.3125,1.109375,0.09375,-14.7933959961,22.0489501953,-20.133972168,2.7770996094,14.4958496094,-8.6364746094,141108928946742,0.100533073
-0.28125,0.90625,0.078125,-1.708984375,34.6984863281,-0.48828125,2.5634765625,14.5874023438,-9.3688964844,141109029694763,0.100748021
-0.34375,1,0.03125,-6.1340332031,51.6052246094,-11.8865966797,2.5634765625,14.7399902344,-8.2397460938,141109130867471,0.101172708
-0.25,0.734375,0.09375,-10.7574462891,64.2623901367,-5.1956176758,2.4719238281,14.6789550781,-7.2326660156,141109231721377,0.100853906
-0.234375,0.796875,0.03125,-8.4686279297,49.5071411133,-2.1743774414,2.2888183594,14.5568847656,-5.6762695313,141109333115648,0.101394271
-0.3125,1.09375,-0.046875,-19.4091796875,34.4619750977,0.1449584961,2.4108886719,14.1906738281,-4.2724609375,141109434341429,0.101225781
-0.21875,1.109375,-0.03125,-5.3939819336,20.2789306641,11.8865966797,2.3803710938,14.1296386719,-5.2490234375,141109535192210,0.100850781
-0.21875,1.109375,0.015625,20.1110839844,-23.6434936523,-13.6108398438,2.3803710938,14.1296386719,-5.2490234375,141109635969762,0.100777552
-0.140625,0.75,0.015625,25.1007080078,-86.181640625,-4.1275024414,2.2277832031,14.3432617188,-4.39453125,141109737130127,0.101160365
-0.15625,0.703125,0.03125,38.4216308594,-124.8550415039,5.2185058594,1.8615722656,14.892578125,-5.1879882813,141109837510856,0.100380729
-0.3125,0.96875,-0.015625,42.236328125,-128.8986206055,27.2445678711,1.953125,15.0146484375,-7.2937011719,141109937906898,0.100396042
-0.453125,1.1875,0.109375,32.0281982422,-81.5811157227,8.1481933594,2.5024414063,14.5874023438,-9.1552734375,141110038545075,0.100638177
-0.296875,0.765625,0.109375,30.7846069336,-44.4183349609,4.6844482422,3.2043457031,13.9770507813,-12.451171875,141110139268825,0.10072375
-0.296875,0.90625,0.03125,24.6810913086,-35.5606079102,6.8206787109,3.5095214844,13.7023925781,-12.9089355469,141110239988721,0.100719896
-0.1875,0.765625,0.015625,25.8407592773,-29.411315918,5.1803588867,3.8146972656,13.427734375,-13.6413574219,141110341004814,0.101016093
-0.15625,0.828125,-0.0625,21.1563110352,-22.3770141602,2.1133422852,4.2419433594,13.0920410156,-13.916015625,141110441606064,0.10060125
-0.265625,1.125,-0.140625,5.6381225586,3.1051635742,-2.1133422852,4.2114257813,13.0004882813,-15.4418945313,141110542331325,0.100725261
-0.4375,1.265625,-0.21875,2.7465820313,44.8760986328,-0.9841918945,4.3640136719,12.7868652344,-14.5568847656,141110642832679,0.100501354
-0.453125,1.0625,-0.109375,-19.8669433594,45.783996582,1.7623901367,4.3029785156,12.8784179688,-13.2141113281,141110743454345,0.100621666
-0.25,0.75,-0.03125,-22.7508544922,39.6194458008,-6.0119628906,3.9672851563,13.1225585938,-12.7868652344,141110844245543,0.100791198
-0.21875,0.71875,-0.09375,-14.2364501953,36.2777709961,-6.5994262695,3.7231445313,13.5803222656,-12.5427246094,141110944927210,0.100681667
-0.234375,0.796875,-0.125,-11.7263793945,58.7768554688,-2.8381347656,3.3264160156,13.5803222656,-11.2609863281,141111045911793,0.100984583
-0.390625,1.21875,0.140625,-21.110534668,57.3959350586,-7.0419311523,3.0517578125,13.916015625,-11.3830566406,141111146546220,0.100634427
-0.234375,0.796875,0.125,-5.3405761719,20.378112793,-3.4790039063,3.0212402344,13.9770507813,-10.1013183594,141111247552158,0.101005938
-0.25,0.765625,0.09375,8.6669921875,14.3737792969,-18.9437866211,2.7770996094,14.4348144531,-8.5754394531,141111348229449,0.100677291
-0.25,0.765625,0.0625,16.845703125,-1.3961791992,3.2272338867,2.4719238281,14.5263671875,-7.6904296875,141111448660335,0.100430886
-0.203125,0.796875,0,12.0544433594,-4.8522949219,4.508972168,2.5634765625,14.7399902344,-7.7819824219,141111549318303,0.100657968
-0.28125,1.078125,-0.0625,-2.4719238281,-4.5166015625,5.5618286133,2.7160644531,14.3432617188,-8.2092285156,141111650610855,0.101292552
-0.359375,1.234375,-0.125,9.0026855469,3.4255981445,-12.2375488281,2.7770996094,14.404296875,-7.9956054688,141111751245647,0.100634792
-0.34375,0.96875,-0.078125,-3.0212402344,12.809753418,-1.2130737305,2.685546875,14.4653320313,-7.8735351563,141111851855282,0.100609635
-0.25,0.9375,0,-2.8991699219,-3.2730102539,-10.4751586914,2.685546875,14.3432617188,-8.1481933594,141111952390543,0.100535261
-0.15625,0.71875,-0.015625,0.4119873047,-14.5263671875,-6.5002441406,2.4108886719,14.5874023438,-7.2326660156,141112053137157,0.100746614
-0.25,0.875,-0.09375,3.2958984375,-11.2686157227,11.9400024414,2.44140625,14.7094726563,-8.0871582031,141112154071220,0.100934063
-0.3125,1.15625,0.03125,16.8075561523,-31.8908691406,10.4598999023,2.5329589844,14.6179199219,-9.3078613281,141112254901689,0.100830469
-0.46875,1.296875,0.078125,15.6631469727,-49.4537353516,-0.2212524414,2.7160644531,14.4653320313,-8.8806152344,141112355733772,0.100832083
-0.40625,1.125,0.03125,22.0642089844,-32.8216552734,-4.8065185547,2.5634765625,14.5568847656,-10.1928710938,141112456923147,0.101189375
-0.328125,0.828125,0,16.6015625,-18.2800292969,3.4484863281,2.7160644531,14.5263671875,-9.7961425781,141112557763355,0.100840208
-0.25,0.734375,0.046875,16.8533325195,-2.6702880859,-7.0648193359,2.6245117188,14.3737792969,-10.6811523438,141112658217730,0.100454375
-0.25,0.890625,-0.046875,4.9591064453,-4.8065185547,1.8692016602,2.6245117188,14.5263671875,-10.7116699219,141112765253615,0.107035885
-0.375,1.109375,-0.078125,16.7007446289,3.6468505859,6.0348510742,2.4719238281,14.6484375,-10.6811523438,141112866286324,0.101032709
-0.328125,0.859375,-0.0625,3.8452148438,-2.5634765625,2.5863647461,2.8076171875,14.4653320313,-10.6201171875,141112966933459,0.100647135
-0.25,0.703125,-0.078125,-5.3176879883,-15.1824951172,-11.116027832,2.7770996094,14.2517089844,-10.8337402344,141113067701428,0.100767969
-0.25,0.703125,-0.078125,-5.973815918,-12.8326416016,11.6653442383,2.7465820313,14.4958496094,-10.8032226563,141113168253303,0.100551875
-0.40625,1.15625,-0.15625,-3.3111572266,-3.9520263672,5.9051513672,2.5024414063,14.3737792969,-11.1389160156,141113269094917,0.100841614
-0.40625,1.15625,-0.0625,3.3111572266,16.3497924805,5.3634643555,2.8686523438,14.1906738281,-11.6577148438,141113369439136,0.100344219
-0.53125,1.359375,0.109375,-4.8446655273,-9.6588134766,1.5411376953,2.685546875,14.1296386719,-11.3220214844,141113469859501,0.100420365
-0.28125,1.046875,0.078125,13.5726928711,-9.8342895508,-11.2075805664,2.7465820313,14.0380859375,-11.4135742188,141113571165542,0.101306041
-0.328125,0.84375,0.03125,21.3394165039,0.6561279297,0.1373291016,2.8686523438,14.0686035156,-10.7116699219,141113671976376,0.100810834
-0.234375,0.75,0,22.4227905273,-13.1683349609,-2.5787353516,2.7160644531,14.1296386719,-11.0168457031,141113772765021,0.100788645
-0.25,0.765625,-0.0625,4.0664672852,-7.5759887695,10.1852416992,2.8991699219,14.0380859375,-10.5590820313,141113873794969,0.101029948
-0.359375,1.125,-0.015625,10.5819702148,-18.5089111328,-2.7160644531,2.7465820313,14.0075683594,-10.5590820313,141113974624084,0.100829115
-0.25,0.765625,-0.140625,4.6005249023,1.7318725586,1.8539428711,3.1433105469,13.8244628906,-12.7563476563,141114076986167,0.102362083
-0.421875,0.921875,-0.0625,-13.1301879883,20.8206176758,-1.7929077148,3.2958984375,13.5498046875,-11.6577148438,141114178485646,0.101499479
-0.234375,0.734375,-0.125,-7.1411132813,6.7901611328,1.2054443359,2.9907226563,13.8244628906,-11.4440917969,141114279015438,0.100529792
-0.34375,1.078125,-0.03125,-4.7302246094,3.2501220703,5.5541992188,2.8076171875,13.7023925781,-11.5356445313,141114379382938,0.1003675
-0.453125,1.421875,0.078125,-2.0141601563,4.2877197266,8.5296630859,2.8076171875,13.7939453125,-11.5356445313,141114479970490,0.100587552
